Quartal;IVW-Nr.;Titel-Nr.;Titel;Zusatz;Ort;Verlagsnummer;Erscheinungsweisen;Kennzeichen Statistik;Mitgliedsnummer;Verbreitung;Verkauf;Druckauflage gesamt;Verkauf zur Weitergabe an Kunden;Abo gesamt;dav Mehrf 25;dav Mitgl;EV-Verkauf;EV-Lieferung;Remittenden;Lesezirkel;Bordexemplare;Sonst Verk;Freist gesamt;davon ausgelegt;Zahl Auslege-Stellen;Reste/Belege;Sonderhinweis;Verbreitung (Ausland);Verkauf (Ausland);Druckauflage gesamt (A);Verkauf zur Weitergabe an Kunden (A);Abo gesamt (A);dav Mehrf 25 (A);dav Mitgl (A);EV-Verkauf (A);EV-Lieferung (A);Remittenden (A);Lesezirkel (A);Bordexemplare (A);Sonst Verk (A);Freist gesamt (A);davon ausgelegt (A);Zahl Auslege-Stellen (A);Reste/Belege (A);Sachgruppe;Bindeauflage;VerkAuflage;VertriebAb;Postvert_gesamt;Postvert_CDROM;Direktvertr_gesamt;Direktvertr_CDROM;Verbreitung_gesamt;Verbreitung_CDROM;Korrektur_KZ;Supplement_Gesamtverkauf;Supplement_Sonstige_Verbreitung_gesamt;Nicht_IVW-angeschlossene_Trägerobjekte;Bindeauflage (CD);VerkAuflage (CD);Freist gesamt (CD);Erschienen;ZIS-Schlüssel/PZ-Nr.
20212;2290401022;1;DAV Panorama;;München;1119;2-mtl;11;1;673419;663766;679483;;663766;;663766;;;;;;;9653;;;;;7095;6539;;;6539;;6539;;;;;;;556;;;;214;;;;;;;;;;;;;;;;;;550245
20212;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;106466;102228;142444;;43922;;;28949;62941;33992;27862;;1495;4238;;;;;5079;5030;;;1841;;;2388;6235;3847;676;;125;49;;;;209;;;;;;;;;;;;;;;;;;530097
20212;2260101012;6;Eltern;;Hamburg;897;mtl;11;6;137280;79669;150433;;30808;;;5643;23009;17366;27619;538;15061;57611;;;;;22447;5356;;;2120;;;702;3227;2525;2485;4;45;17091;;;;206;;;;;;;;;;;;;;;;;;504565
20212;2260101012;10498;Eltern;davon ePaper;Hamburg;897;mtl;12;10498;6266;6266;;;510;;;40;40;;;538;5178;;;;;;;;;;;;;;;;;;;;;;;206;;;;;;;;;;;;;;;;;;504565
20212;7010501016;7;Eltern Wissen Schwangerschaft;;Hamburg;897;3 x jähr;11;7;270030;;;;;;;;;;;;;270030;;;;;;;;;;;;;;;;;;;;;;206;271000;;Ja;;;;;;;;;;;;;;6 / 2021;
20212;2220901042;10;Echo der Frau;;Ismaning;6329;woe;11;10;113256;112857;178327;;37288;;;66635;129175;62540;8802;;132;399;;;;;11870;11856;;;65;;;11516;24479;12963;183;;92;14;;;;203;;;;;;;;;;;;;;;;;;529817
20212;2240301032;11;Evangelisches Sonntagsblatt aus Bayern;;Rothenburg;1239;woe;11;11;8418;8216;9577;;6298;;;;;;;;1918;202;;;;;;;;;;;;;;;;;;;;;;272;;;;;;;;;;;;;;;;;;560694
20212;3051001012;12;Top Hair International, Deutsche Ausgabe;;Gaggenau;4382;2 x mtl;11;12;24068;13293;24983;;12630;;;23;23;;;;640;10775;;;;;787;250;;;223;;;;;;;;27;537;;;;302;;;;;;;;;;;;;;;;;;0
20212;2220901082;13;Freizeit Revue;;Offenburg;573;woe;11;13;523689;522064;722423;;97190;2;;378612;573575;194963;44514;;1748;1625;;;;;73634;73532;;;6515;;;63330;105157;41827;3024;;663;102;;;;203;;;;;;;;;;;;;;;;;;552487
20212;2220911022;14;Freundin (klassisches und Pocketformat);;München;3644;14-tgl;11;14;198252;195993;306695;;91074;6;1934;57600;165036;107436;46560;216;543;2259;;;;;8879;8785;;;1577;;;4773;16621;11848;2398;;37;94;;;;204;;;;;;;;;;;;;;;;;;558916
20212;2220911022;10717;Freundin (klassisches und Pocketformat);davon ePaper;München;3644;14-tgl;12;10717;2924;2924;;;2641;;1934;117;117;;;80;86;;;;;;;;;;;;;;;;;;;;;;;204;;;;;;;;;;;;;;;;;;558916
20212;2220911022;11141;Freundin;davon Pocketformat;München;3644;14-tgl;10;11141;;;5714;;;;;;5604;5728;;19;;1;;;;;;;;;;;;;;563;;;;;;;;204;;;;;;;;;;;;;;;;;;558916
20212;2290301022;15;Fisch und Fang;;Singhofen;917;mtl;11;15;32105;31465;62803;;22746;;;7906;38519;30613;58;;755;640;;;;;2155;2126;;;1330;;;796;3612;2816;;;;29;;;;214;;;;;;;;;;;;;;;;;;509793
20212;2290301022;11375;Fisch und Fang;davon ePaper;Singhofen;917;mtl;12;11375;979;979;;;215;;;9;9;;;;755;;;;;;;;;;;;;;;;;;;;;;;214;;;;;;;;;;;;;;;;;;509793
20212;2220901062;16;Frau im Spiegel;;Ismaning;6329;woe;11;16;171130;170846;262246;;19631;;;112306;202130;89824;38586;;323;284;;;;;18218;18185;;;364;;;13461;29378;15917;4171;;189;33;;;;203;;;;;;;;;;;;;;;;;;536402
20212;2220401052;17;Funk Uhr;;Baden-Baden;6921;woe;11;17;291388;289587;389558;;138010;;;150321;245715;95394;1040;;216;1801;;;;;750;747;;;197;;;550;1681;1131;;;;3;;;;202;;;;;;;;;;;;;;;;;;586262
20212;2220901052;18;Frau aktuell;;Ismaning;6329;woe;11;18;90405;89930;154658;;25249;;;52494;114038;61544;11438;;749;475;;;;;8709;8680;;;108;;;8047;19381;11334;432;;93;29;;;;203;;;;;;;;;;;;;;;;;;546870
20212;2230801042;19;fotoMAGAZIN;;Hamburg;904;mtl;11;19;16483;16320;33737;;5036;;;5340;23152;17812;4523;109;1312;163;;;;;1578;1571;;;438;;;1069;3808;2739;;14;50;7;;;;215;;;;;;;;;;;;;;;;;;539029
20212;2230801042;9502;fotoMAGAZIN;davon ePaper;Hamburg;904;mtl;12;9502;1516;1516;;;205;;;119;119;;;109;1083;;;;;;;;;;;;;;;;;;;;;;;215;;;;;;;;;;;;;;;;;;539029
20212;2291101032;20;fliegermagazin;;Hamburg;904;mtl;11;20;13409;13210;18807;;8668;;;1790;7421;5631;2046;;706;199;;;;;1406;1378;;;972;;;363;1342;979;;;43;28;;;;222;;;;;;;;;;;;;;;;;;597907
20212;2291101032;9501;fliegermagazin;davon ePaper;Hamburg;904;mtl;12;9501;960;960;;;452;;;80;80;;;;428;;;;;;;;;;;;;;;;;;;;;;;222;;;;;;;;;;;;;;;;;;597907
20212;2220401032;21;Fernsehwoche;;Hamburg;890;woe;11;21;250243;249662;319111;;113068;;;133645;199725;66080;584;;2365;581;;;;;3484;3476;;;136;;;1040;2212;1172;;;2300;8;;;;202;;;;;;;;;;;;;;;;;;541403
20212;2221501032;25;Geo;;Hamburg;897;mtl;11;25;168145;166368;193803;;122146;;;12044;41112;29068;23407;1527;7244;1777;;;;;23026;22823;;;16734;;;3143;8681;5538;1391;;1555;203;;;;217;;;;;;;;;;VK;;;;;;;;597982
20212;2221501032;25;Geo;;Hamburg;897;mtl;11;25;167555;165778;193803;;121560;;;12040;41108;29068;23407;1527;7244;1777;;;;;23025;22822;;;16734;;;3142;8680;5538;1391;;1555;203;;;;217;;;;;;;;;;;;;;;;;;597982
20212;2221501032;11401;Geo;davon ePaper;Hamburg;897;mtl;12;11401;8411;8411;;;1702;;;87;87;;;1527;5095;;;;;;;;;;;;;;;;;;;;;;;217;;;;;;;;;;VK;;;;;;;;597982
20212;2221501032;11401;Geo;davon ePaper;Hamburg;897;mtl;12;11401;8403;8403;;;1695;;;86;86;;;1527;5095;;;;;;;;;;;;;;;;;;;;;;;217;;;;;;;;;;;;;;;;;;597982
20212;2220901092;26;Goldene Blatt, Das;;Ismaning;6329;woe;11;26;141837;141556;223935;;31074;;;93726;173365;79639;16528;;228;281;;;;;13016;13011;;;179;;;12292;26785;14493;360;;180;5;;;;203;;;;;;;;;;;;;;;;;;505351
20212;2290501012;28;GOLFmagazin;;Oberhaching;7298;mtl;11;28;31205;30641;43046;;22963;;11403;2393;10255;7862;2440;114;2731;564;;;;;1354;1312;;;689;;111;463;1507;1044;10;19;131;42;;;;214;;;;;;;;;;;;;;;;;;515567
20212;2290501012;11269;GOLFmagazin;davon ePaper;Hamburg;904;mtl;12;11269;228;228;;;83;;;;;;;114;31;;;;;;;;;;;;;;;;;;;;;;;214;;;;;;;;;;;;;;;;;;515567
20212;2230301102;30;Gute Fahrt;;Bielefeld;1367;mtl;11;30;38447;37941;57759;;6108;;;3960;22460;18500;;;27873;506;;;;;1436;1432;;;777;;;492;3080;2588;;;163;4;;;;213;;;;;;;;;;;;;;;;;;547446
20212;2230301102;11275;Gute Fahrt;davon ePaper;Bielefeld;1367;mtl;12;11275;1091;1091;;;287;;;87;87;;;;717;;;;;;;;;;;;;;;;;;;;;;;213;;;;;;;;;;;;;;;;;;547446
20212;2231001012;31;Gartenpraxis;;Stuttgart;1312;mtl;11;31;12285;11365;13033;;10430;;;205;409;204;;;730;920;;;;;1527;1469;;;1441;;;;;;;;28;58;;;;217;;;;;;;;;;;;;;;;;;570229
20212;2231501022;33;Ein Herz für Tiere;;München;6678;mtl;11;33;35316;34539;52543;;14117;;;6965;23556;16591;13167;;290;777;;;;;1485;1482;;;801;;;650;2430;1780;25;;6;3;;;;216;;;;;;;;;;;;;;;;;;505560
20212;2221901022;35;Haus, Das;;München;575;10 x jähr;11;35;638956;638296;647047;;;;;826;4317;3491;2148;;635322;660;;;;;53;43;;;;;;10;75;65;;;33;10;;;;208;;;;;;;;;;;;;;;;;;557518
20212;2310101062;36;Harvard Business Manager;;Hamburg;913;mtl;11;36;13444;12388;19125;;10540;70;;1740;5870;4130;;;108;1056;;;;;2025;2002;;;1390;15;;599;1160;561;;;13;23;;;;220;;;;;;;;;;;;;;;;;;567364
20212;2220401082;39;Hörzu;;Hamburg;6920;woe;11;39;832201;830955;957323;;513529;;;286364;403803;117439;19460;;11602;1246;;;;;7193;7127;;;1150;;;5967;11922;5955;10;;;66;;;;202;;;;;;;;;;;;;;;;;;501402
20212;2260111032;42;Junge Familie;;Hamburg;906;6 x jähr;11;42;107510;104857;90000;;17814;;;38;38;;;;87005;2653;;;;;132;18;;;18;;;;;;;;;114;;;;206;;;;;;;;;;;;;;;;;;529950
20212;2260111032;10336;Junge Familie;davon ePaper;Hamburg;906;6 x jähr;12;10336;17932;17932;;;17590;;;38;38;;;;304;;;;;;;;;;;;;;;;;;;;;;;206;;;;;;;;;;;;;;;;;;529950
20212;2230901098;43;In München;;München;173;mtl;11;43;;;;;;;;;;;;;;;;;;Im Berichtszeitraum nicht erschienen;;;;;;;;;;;;;;;;;;271;;;;;;;;;;;;;;;;;;568287
20212;2310101072;44;Impulse;;Hamburg;6754;mtl;11;44;7244;7018;8963;;7018;;;;;;;;;226;;;;;78;75;;;75;;;;;;;;;3;;;;220;;;;;;;;;;;;;;;;;;505027
20212;2290401052;46;extra / tour;;Detmold;386;1 x jähr;11;46;;;;;;;;;;;;;;;;;;Im Berichtszeitraum nicht erschienen;;;;;;;;;;;;;;;;;;221;;;;;;;;;;;;;;;;;;525727
20212;2231201022;47;JÄGER;;Hamburg;904;mtl;11;47;29931;29503;49295;;18111;;2507;10492;28958;18466;135;5;760;428;;;;;2477;2371;;;1169;;8;1165;3484;2319;;;37;106;;;;216;;;;;;;;;;;;;;;;;;592761
20212;2240401082;48;Kirche und Leben;;Münster;1221;woe;11;48;34349;33343;34569;;33343;;;;;;;;;1006;;;;;166;166;;;166;;;;;;;;;;;;;272;;;;;;;;;;;;;;;;;;503116
20212;2240401072;49;Katholisches Sonntagsblatt;;Ostfildern;1205;woe;11;49;28056;27218;28100;;26954;;;;;;;;264;838;;;;;90;86;;;85;;;;;;;;1;4;;;;272;;;;;;;;;;;;;;;;;;536268
20212;2240401162;50;Konradsblatt;Wochenzeitung für das Erzbistum Freiburg;Karlsruhe;1000;woe;11;50;34363;34006;35592;;30982;;;;;;500;;2524;357;;;;;120;102;;;102;;;;;;;;;18;;;;272;;;;;;;;;;;;;;;;;;595713
20212;2240301062;52;Kasseler Sonntagsblatt;;Hamm;7084;woe;11;52;2125;2018;2343;;1977;;;;;;;;41;107;;;;;;;;;;;;;;;;;;;;;;272;;;;;;;;;;;;;;;;;;518912
20212;2240401122;53;KirchenZeitung, die Woche im Bistum Hildesheim;;Osnabrück;1197;woe;11;53;7595;7082;7397;;6675;;;;;;;;407;513;;;;;36;36;;;;;;;;;;;36;;;;;272;;;;;;;;;;;;;;;;;;539699
20212;2240401122;10961;KirchenZeitung, die Woche im Bistum Hildesheim;davon ePaper;Osnabrück;1197;woe;12;10961;348;332;;;322;;;;;;;;10;16;;;;;;;;;;;;;;;;;;;;;;272;;;;;;;;;;;;;;;;;;539699
20212;2240401092;54;Kirchenbote des Bistums Osnabrück;;Osnabrück;1197;woe;11;54;16557;14664;17027;;14563;;;;;;;;101;1893;;;;;50;43;;;43;;;;;;;;;7;;;;272;;;;;;;;;;;;;;;;;;594222
20212;2240401112;55;Kirchenzeitung für das Bistum Eichstätt;;Eichstätt;758;woe;11;55;10530;10216;10614;;10216;;;;;;;;;314;;;;;43;33;;;33;;;;;;;;;10;;;;272;;;;;;;;;;;;;;;;;;572401
20212;1297600000;56;WA-Westfälischer Anzeiger Gesamtausgabe;;Hamm;936;Mo-Sa;11;56;109962;107774;103373;;96772;;;2464;5123;2659;;;8538;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100076
20212;1297600000;8114;WA-Westfälischer Anzeiger Gesamtausgabe;davon ePaper;Hamm;936;Mo-Sa;10;8114;14135;14135;;;6577;;;6;6;;;;7552;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100076
20212;2290201032;57;Kicker/Sport-Magazin - Donnerstag;;Nürnberg;1178;Do;11;57;93066;91563;141192;;41081;;;33498;91924;58426;4;64;16916;1503;;;;;2875;2834;;;847;;;1768;3803;2035;;;219;41;;;;214;;;;;;;;;;;;;;;;;;554207
20212;2290201032;6368;Kicker/Sport-Magazin - Donnerstag;davon ePaper;Nürnberg;1178;Do;12;6368;18236;18236;;;3758;;;168;168;;;;14310;;;;;;;;;;;;;;;;;;;;;;;214;;;;;;;;;;;;;;;;;;554207
20212;2240401172;58;Liboriusblatt;;Hamm;935;woe;11;58;12745;12636;13043;;12526;;;;;;;;110;109;;;;;81;81;;;45;;;;;;;;36;;;;;272;;;;;;;;;;;;;;;;;;560795
20212;2240401182;64;Münchner Kirchenzeitung;;München;1134;woe;11;64;16249;15900;17120;;14587;;;1;1;;;;1312;349;;;;;;;;;;;;;;;;;;;;;;272;;;;;;;;;;;;;;;;;;584867
20212;2240401182;11723;Münchner Kirchenzeitung;davon ePaper;München;1134;woe;12;11723;97;97;;;63;;;1;1;;;;33;;;;;;;;;;;;;;;;;;;;;;;272;;;;;;;;;;;;;;;;;;584867
20212;2220701042;66;Mädchen;;Berlin;1288;4-woe;11;66;33999;33890;67157;;6952;;;22303;54968;32665;937;3500;198;109;;;;;2105;2103;;;231;;;1848;7085;5237;;;24;2;;;;207;;;;;;;;;;;;;;;;;;550609
20212;2310101092;71;manager magazin;;Hamburg;913;mtl;11;71;88907;85430;86739;;61297;200;17668;12456;27365;14909;3047;1902;6728;3477;;;;;5965;5932;;;3537;;69;1770;3037;1267;;179;446;33;;;;220;;;;;;;;;;;;;;;;;;518602
20212;2310101092;10292;manager magazin;davon ePaper;Hamburg;913;mtl;12;10292;19063;19063;;;11085;;;142;142;;;1857;5979;;;;;;;;;;;;;;;;;;;;;;;220;;;;;;;;;;;;;;;;;;518602
20212;2230301152;73;MOTORRAD;;Stuttgart;4599;14-tgl;11;73;83350;82996;129569;;43013;;2;23544;70708;47164;2648;61;13730;354;;;;;4560;4499;;;2110;;;2366;7034;4668;2;;21;61;;;;213;;;;;;;;;;;;;;;;;;575369
20212;2230301152;10462;MOTORRAD;davon ePaper;Stuttgart;4599;14-tgl;12;10462;6153;6153;;;2192;;;657;657;;;61;3243;;;;;;;;;;;;;;;;;;;;;;;213;;;;;;;;;;;;;;;;;;575369
20212;2221201022;74;Meine Familie & ich;;München;3645;4-woe;11;74;235993;234652;464308;;12977;10;;199263;422180;222917;15873;;6539;1341;;;;;1541;1523;;;356;;;1036;2155;1119;63;;68;18;;;;209;;;;;;;;;;;;;;;;;;594857
20212;2231001022;75;Mein schöner Garten;;Offenburg;573;mtl;11;75;282750;277955;391478;;131644;35;;119094;224685;105591;25838;;1379;4795;;;;;24237;24168;;;8103;;;14324;29256;14932;1478;;263;69;;;;208;;;;;;;;;;;;;;;;;;579888
20212;2230301202;76;Motor Klassik;;Stuttgart;4599;mtl;11;76;52538;52265;86800;;25774;;3198;21641;55163;33522;2024;76;2750;273;;;;;7422;7304;;;3005;;127;4118;9527;5409;3;;178;118;;;;213;;;;;;;;;;;;;;;;;;508070
20212;2230301202;10720;Motor Klassik;davon ePaper;Stuttgart;4599;mtl;12;10720;2126;2126;;;443;;;132;132;;;76;1475;;;;;;;;;;;;;;;;;;;;;;;213;;;;;;;;;;;;;;;;;;508070
20212;3011901042;79;metallbau;;Gütersloh;887;10 x jähr;11;79;20506;846;21000;;837;;;2;2;;;;7;19660;;;;;2169;88;;;88;;;;;;;;;2081;;;;305;;;;;;;;;;;;;;;;;;0
20212;2230301112;81;Oldtimer Markt;;Mainz;3625;mtl;11;81;89994;89103;174241;;29785;;;59187;142238;83051;77;;54;891;;;;;10312;10271;;;2398;;;7869;21595;13726;;;4;41;;;;213;;;;;;;;;;;;;;;;;;539047
20212;2230301262;84;Auto Bild;;Hamburg;4075;woe;11;84;243516;241842;338292;;80310;;;123516;224005;100489;29718;121;8177;1674;;;;;18183;18080;;;2294;;;14125;28994;14869;1483;25;153;103;;;;213;;;;;;;;;;;;;;;;;;525460
20212;2230301262;8783;Auto Bild;davon ePaper;Hamburg;4075;woe;12;8783;8204;8204;;;320;;;728;728;;;106;7050;;;;;;;;;;;;;;;;;;;;;;;213;;;;;;;;;;;;;;;;;;525460
20212;2220901142;86;Neue Welt;;Ismaning;6329;woe;11;86;124653;123850;201288;;17381;;;92278;166582;74304;14035;;156;803;;;;;19855;19829;;;251;;;19332;38040;18708;106;;140;26;;;;203;;;;;;;;;;;;;;;;;;576711
20212;2220901132;88;Neue Post;;Hamburg;890;woe;11;88;401576;400792;566777;;41652;;;338932;503248;164316;19497;;711;784;;;;;88154;88109;;;8697;;;75266;116499;41233;3501;;645;45;;;;203;;;;;;;;;;;;;;;;;;505624
20212;2220901112;89;Neue, Das;;Hamburg;890;woe;11;89;86659;86554;144882;;7133;;;74986;124790;49804;329;;4106;105;;;;;6747;6742;;;145;;;5848;11509;5661;189;;560;5;;;;203;;;;;;;;;;;;;;;;;;596195
20212;2220901122;90;Neue Blatt, Das;;Hamburg;890;woe;11;90;284762;284262;417479;;22826;;;250320;381940;131620;10638;;478;500;;;;;37012;36995;;;1597;;;34247;58024;23777;723;;428;17;;;;203;;;;;;;;;;;;;;;;;;594955
20212;2230911032;91;Ostfriesland-Magazin;;Norden;1414;mtl;11;91;10721;10505;14065;;7049;;;3180;5632;2452;;;276;216;;;;;67;67;;;67;;;;;;;;;;;;;271;;;;;;;;;;;;;;;;;;512941
20212;2230911032;8456;Ostfriesland-Magazin;davon ePaper;Norden;1414;mtl;12;8456;127;118;;;59;;;;;;;;59;9;;;;;;;;;;;;;;;;;;;;;;271;;;;;;;;;;;;;;;;;;512941
20212;2230101022;92;Psychologie heute;;Weinheim;1338;mtl;11;92;55175;54824;112992;;28521;;;20452;74387;53935;2968;;2883;351;;;;;7687;7659;;;4932;;;2636;12111;9475;;;91;28;;;;217;;;;;;;;;;;;;;;;;;527295
20212;2230121052;93;PC-Welt;;München;1118;mtl;11;93;52404;52145;89149;;31621;;;19587;60996;41409;707;;230;259;40;1;;;3117;3117;;;1603;;;1422;4648;3226;;;92;;;;;218;;;;;;;;;;;;;;;;;;545797
20212;2230121052;11923;PC-Welt;davon ePaper;München;1118;mtl;12;11923;5071;5071;;;5070;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;218;;;;;;;;;;;;;;;;;;545797
20212;2230101032;94;P.M.;;Hamburg;897;mtl;11;94;121401;120336;152333;;78975;;;25812;58501;32689;12920;696;1933;1065;;;;;20834;20803;;;11884;;;6208;16042;9834;1963;44;704;31;;;;217;;;;;;;;;;;;;;;;;;564659
20212;2230101032;11645;P.M.;davon ePaper;Hamburg;897;mtl;12;11645;2966;2966;;;1060;;;74;74;;;696;1136;;;;;;;;;;;;;;;;;;;;;;;217;;;;;;;;;;;;;;;;;;564659
20212;2230301162;96;PS sportlich schnell motorradfahren;;Stuttgart;4599;mtl;11;96;21543;21356;43267;;9405;;1081;9063;30306;21243;3;29;2856;187;;;;;2427;2390;;;925;;26;1443;4433;2990;;;22;37;;;;213;;;;;;;;;;;;;;;;;;533170
20212;2230301162;10488;PS sportlich schnell motorradfahren;davon ePaper;Stuttgart;4599;mtl;12;10488;1697;1697;;;285;;;245;245;;;29;1138;;;;;;;;;;;;;;;;;;;;;;;213;;;;;;;;;;;;;;;;;;533170
20212;2220701052;98;Popcorn;;Berlin;1288;13 x jähr;11;98;26363;26256;58283;;2000;;;23934;55368;31434;210;;112;107;;;;;2635;2633;;;76;;;2545;7065;4520;;;12;2;;;;207;;;;;;;;;;;;;;;;;;578399
20212;2240401202;99;Paulinus;;Trier;1317;woe;11;99;15388;14852;15470;;10918;;;14;36;22;;;3920;536;;;;;138;138;;;88;;;;;;;;50;;;;;272;;;;;;;;;;;;;;;;;;528578
20212;2240401202;10226;Paulinus;davon ePaper;Trier;1317;woe;12;10226;143;143;;;72;;;;;;;;71;;;;;;;;;;;;;;;;;;;;;;;272;;;;;;;;;;;;;;;;;;528578
20212;2221401042;101;Playboy Deutschland;;München;4374;mtl;11;101;104366;102386;161715;;46187;;;41051;114729;73678;12076;;3072;1980;;;;;5765;5729;;;1206;;;4273;13015;8742;173;;77;36;;;;212;;;;;;;;;;;;;;;;;;563318
20212;2221401042;10124;Playboy Deutschland;davon ePaper;München;4374;mtl;12;10124;18626;18626;;;14928;;;902;902;;;;2796;;;;;;;;;;;;;;;;;;;;;;;212;;;;;;;;;;;;;;;;;;563318
20212;2240401222;105;Pilger, Der;Kirchenzeitung der Katholiken im Bistum Speyer;Speyer;1259;38 x jähr;11;105;11140;10406;12087;;10406;;;;;;;;;734;;;;;33;26;;;26;;;;;;;;;7;;;;272;;;;;;;;;;;;;;;;;;558324
20212;1296011010;107;DEWEZET Ausgabe Hameln;;Hameln;934;Mo-Sa;10;107;18547;17714;19359;;15641;;;763;1308;545;;;1310;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100858
20212;3100401062;109;profi-Magazin für Agrartechnik;;Münster;1155;mtl;11;109;64862;62482;61067;;56156;;;62;158;96;;;6264;2380;;;;;11846;11721;;;10445;;;;;;;;1276;125;;;;306;;;;;;;;;;;;;;;;;;0
20212;3100401062;11378;profi-Magazin für Agrartechnik;davon ePaper;Münster;1155;mtl;12;11378;5585;4212;;;371;;;;;;;;3841;1373;;;;;;;;;;;;;;;;;;;;;;306;;;;;;;;;;;;;;;;;;0
20212;2290601032;111;Reiter Revue International;;Münster;1155;mtl;11;111;38127;35190;32162;;18954;;880;4809;19503;14694;1550;;9877;2937;;;;;1430;1407;;;1020;;16;272;984;712;;;115;23;;;;214;;;;;;;;;;;;;;;;;;565705
20212;2290601032;10235;Reiter Revue International;davon ePaper;Münster;1155;mtl;12;10235;21685;18999;;;9760;;;44;44;;;;9195;2686;;;;;;;;;;;;;;;;;;;;;;214;;;;;;;;;;;;;;;;;;565705
20212;2290601042;117;Reiter und Pferde in Westfalen;;Münster;1155;mtl;11;117;20179;19765;21773;;1801;;94;220;1366;1146;;;17744;414;;;;;214;213;;;16;;2;;;;;;197;1;;;;214;;;;;;;;;;;;;;;;;;561964
20212;2220921102;118;Ratgeber Frau und Familie;;Wehr;1335;mtl;11;118;95919;94315;129156;;57979;;;22735;53864;31129;1485;;12116;1604;;;;;5748;5476;;;1747;;;3296;5263;1967;433;;;272;;;;205;;;;;;;;;;;;;;;;;;500025
20212;2220921102;11228;Ratgeber Frau und Familie;davon ePaper;Wehr;1335;mtl;12;11228;1677;1677;;;71;;;96;96;;;;1510;;;;;;;;;;;;;;;;;;;;;;;205;;;;;;;;;;;;;;;;;;500025
20212;2310101000;122;DER SPIEGEL;;Hamburg;924;woe;11;122;681567;675870;610925;;407931;63;;139599;255394;115795;45518;1382;81440;5697;;;;;58146;57937;;;32667;;;19130;38556;19426;285;283;5572;209;;;;201;;;;;;;;;;;;;;;;;;528956
20212;2310101000;10163;DER SPIEGEL;davon ePaper;Hamburg;924;woe;12;10163;194512;194512;;;123401;;;163;163;;;1348;69600;;;;;;;;;;;;;;;;;;;;;;;201;;;;;;;;;;;;;;;;;;528956
20212;2230301182;123;sport auto;;Stuttgart;4599;mtl;11;123;34327;34026;57600;;18955;;9036;13266;36162;22896;572;47;1186;301;;;;;4373;4349;;;1554;;297;2767;7321;4554;;;28;24;;;;213;;;;;;;;;;;;;;;;;;567891
20212;2230301182;10721;sport auto;davon ePaper;Stuttgart;4599;mtl;12;10721;1750;1750;;;527;;;195;195;;;47;981;;;;;;;;;;;;;;;;;;;;;;;213;;;;;;;;;;;;;;;;;;567891
20212;2230101042;124;Spektrum der Wissenschaft;;Heidelberg;967;mtl;11;124;61588;60844;72833;;50403;;60;5671;19627;13956;2119;2000;651;744;;;;;10671;10615;;;7571;;4;1020;3469;2449;;2000;24;56;;;;217;;;;;;;;;;;;;;;;;;571273
20212;2230101042;9565;Spektrum der Wissenschaft;davon ePaper;Heidelberg;967;mtl;12;9565;3900;3732;;;3669;;;;;;;;63;168;;;;;;;;;;;;;;;;;;;;;;217;;;;;;;;;;;;;;;;;;571273
20212;3021001102;127;ZMK Zahnheilkunde Management Kultur;;Balingen;1092;10 x jähr;11;127;37844;2515;38000;;47;;;;;;;;2468;35329;;;;;17;1;;;1;;;;;;;;;16;;;;311;;;;;;;;;;;;;;;;;;0
20212;0977-00300;128;Sonntagsblatt-evang. Wochenzeit. f. Bayern;;München;1122;woe;11;128;12784;12157;13358;;10104;;;;;;;;2053;;;;;;;;;;;;;;;;;;;;;;;272;;;;;;;;;;;;;;;;;;103171
20212;2220901162;129;Sieben Tage;;Baden-Baden;1258;woe;11;129;48434;47463;108142;;8171;;;39075;98417;59342;214;;3;971;;;;;8837;8834;;;32;;;8696;23940;15244;106;;;3;;;;203;;;;;;;;;;;;;;;;;;527934
20212;2290901102;130;Skipper Bootshandel;;München;6908;12 x jähr;11;130;8834;8575;13550;;1828;118;116;2084;6988;4904;18;;4645;259;;;;;557;474;;;177;23;15;155;470;315;;;142;83;;;;214;;;;;;;;;;;;;;;;;;568837
20212;2290901102;11032;Skipper Bootshandel;davon ePaper;München;6908;12 x jähr;12;11032;415;398;;;38;;;27;27;;;;333;17;;;;;;;;;;;;;;;;;;;;;;214;;;;;;;;;;;;;;;;;;568837
20212;2230401042;133;Selbst ist der Mann;;Hamburg;890;mtl;11;133;61687;61393;70993;;23731;;;16400;34011;17611;12003;1667;7592;294;;;;;1249;1241;;;554;;;686;1730;1044;;;1;8;;;;225;;;;;;;;;;;;;;;;;;508190
20212;2230401042;10149;Selbst ist der Mann;davon ePaper;Hamburg;890;mtl;12;10149;9522;9522;;;2643;;;758;758;;;;6121;;;;;;;;;;;;;;;;;;;;;;;225;;;;;;;;;;;;;;;;;;508190
20212;1431000000;137;Volksstimme Gesamt;;Magdeburg;295;Mo-Sa;11;137;147248;144270;147423;;132317;;;5938;11407;5469;;;6015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;101673
