Quartal;IVW-Nr.;Titel-Nr.;Titel;Zusatz;Ort;Verlagsnummer;Erscheinungsweisen;Kennzeichen Statistik;Mitgliedsnummer;Verbreitung;Verkauf;Druckauflage gesamt;Verkauf zur Weitergabe an Kunden;Abo gesamt;dav Mehrf 25;dav Mitgl;EV-Verkauf;EV-Lieferung;Remittenden;Lesezirkel;Bordexemplare;Sonst Verk;Freist gesamt;davon ausgelegt;Zahl Auslege-Stellen;Reste/Belege;Sonderhinweis;Verbreitung (Ausland);Verkauf (Ausland);Druckauflage gesamt (A);Verkauf zur Weitergabe an Kunden (A);Abo gesamt (A);dav Mehrf 25 (A);dav Mitgl (A);EV-Verkauf (A);EV-Lieferung (A);Remittenden (A);Lesezirkel (A);Bordexemplare (A);Sonst Verk (A);Freist gesamt (A);davon ausgelegt (A);Zahl Auslege-Stellen (A);Reste/Belege (A);Sachgruppe;Bindeauflage;VerkAuflage;VertriebAb;Postvert_gesamt;Postvert_CDROM;Direktvertr_gesamt;Direktvertr_CDROM;Verbreitung_gesamt;Verbreitung_CDROM;Korrektur_KZ;Supplement_Gesamtverkauf;Supplement_Sonstige_Verbreitung_gesamt;Nicht_IVW-angeschlossene_Trägerobjekte;Bindeauflage (CD);VerkAuflage (CD);Freist gesamt (CD);Erschienen;ZIS-Schlüssel/PZ-Nr.
20212;1274015400;3356;BILD Bremen;;Berlin;1;Mo-Sa;10;3356;31915;31865;44948;;1368;;;30267;43237;12970;;30;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100330
20212;1274015400;3357;BILD Bremen;;Berlin;1;Mo-Fr;10;3357;31700;31650;44547;;1368;;;30010;42793;12783;;32;240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100330
20212;1274015400;3358;BILD Bremen;;Berlin;1;Sa;10;3358;32984;32938;46950;;1367;;;31548;45455;13907;;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100330
20212;3040601042;3361;Beschaffungsdienst Galabau;;Hamburg;607;8 x jähr;11;3361;12416;1526;13000;;126;;;;;;;;1400;10890;;;;;;;;;;;;;;;;;;;;;;305;;;;;;;;;;;;;;;;;;0
20212;3630601012;3372;Tankstelle;;Gaggenau;4059;11 x jähr;11;3372;15199;4317;15500;;4239;;3611;;;;;;78;10882;;;;;62;15;;;14;;1;;;;;;1;47;;;;301;;;;;;;;;;;;;;;;;;0
20212;2620101022;3373;Sterne und Weltraum;;Heidelberg;967;mtl;11;3373;16778;16405;25833;;12651;;2121;3714;11797;8083;;;40;373;;;;;2834;2795;;;2063;;121;721;2110;1389;;;11;39;;;;217;;;;;;;;;;;;;;;;;;567043
20212;3010301352;3375;Deutsches Ingenieurblatt;;Berlin;1245;10 x jähr;11;3375;47697;45783;47737;;45783;;45585;;;;;;;1914;;;;;138;136;;;136;;128;;;;;;;2;;;;305;;;;;;;;;;;;;;;;;;0
20212;2291101052;3377;Aero International;;Hamburg;904;mtl;11;3377;15842;15731;30059;;8128;;;6298;21034;14736;9;;1296;111;;;;;3113;3097;;;1181;;;1836;4719;2883;;;80;16;;;;222;;;;;;;;;;;;;;;;;;527613
20212;2291101052;10549;Aero International;davon ePaper;Hamburg;904;mtl;12;10549;1051;1051;;;364;;;84;84;;;;603;;;;;;;;;;;;;;;;;;;;;;;222;;;;;;;;;;;;;;;;;;527613
20212;3120201322;3381;Food Technologie Magazin;;Nürnberg;1176;5 x jähr;11;3381;11423;42;12000;;42;;;;;;;;;11381;;;;;755;13;;;13;;;;;;;;;742;;;;302;;;;;;;;;;;;;;;;;;0
