Kategorie,Definition,Ankerbeispiele
Produkt,"Das Endprodukt, das in der Zukunftsvision am Ende der Fertigung entsteht.","""Spezialventile für Beatmungsgeräte"" (200320fazTru)

""Tabletten auf Knopfdruck"" (200306fazTab)

""der findet eine Waffe, […] baue er sich eine mit einem 3-D-Drucker"" (200529spiMas)"
Problem,"Ein Problem, das die additive Fertigung lösen soll.","""Engpässe[n] in der Produktion"" (200513szMac)

""statt sie im Fernen Osten zu fertigen, wo die Kosten langsam steigen"" (200221fazIch)

""weltweite[r], störanfällige[r] Lieferketten"" (200514hanAus)"
